dispnum,ccode1,ccode2,year,midongoing,midonset,sidea1,sidea2,revstate1,revstate2,revtype11,revtype12,revtype21,revtype22,fatality1,fatality2,fatalpre1,fatalpre2,hiact1,hiact2,hostlev1,hostlev2,orig1,orig2,hiact,hostlev,mindur,maxdur,outcome,settle,fatality,fatalpre,stmon,endmon,recip,numa,numb,ongo2010,version
2634,770,750,1969,1,1,1,0,0,0,0,0,-9,-9,0,0,0,0,7,7,3,3,1,1,7,3,139,139,5,1,0,0,10,3,1,1,1,0,gml-2.1.1
2634,770,750,1970,1,0,1,0,0,0,0,0,-9,-9,0,0,0,0,7,7,3,3,1,1,7,3,139,139,5,1,0,0,10,3,1,1,1,0,gml-2.1.1
2635,750,770,1969,1,1,0,1,0,1,0,1,-9,-9,0,0,0,0,0,16,1,4,1,1,16,4,2,2,5,1,0,0,12,12,0,1,1,0,gml-2.1.1
2635,770,750,1969,1,1,1,0,1,0,1,0,-9,-9,0,0,0,0,16,0,4,1,1,1,16,4,2,2,5,1,0,0,12,12,0,1,1,0,gml-2.1.1
2638,750,770,1972,1,1,0,1,0,1,0,1,-9,-9,2,2,-9,-9,17,17,4,4,1,1,17,4,1,1,6,1,3,-9,5,5,1,1,1,0,gml-2.1.1
2638,770,750,1972,1,1,1,0,1,0,1,0,-9,-9,2,2,-9,-9,17,17,4,4,1,1,17,4,1,1,6,1,3,-9,5,5,1,1,1,0,gml-2.1.1
2639,750,770,1981,1,1,0,1,0,1,0,1,-9,-9,1,1,-9,-9,17,17,4,4,1,1,17,4,6,6,5,1,1,-9,7,7,1,1,1,0,gml-2.1.1
2639,770,750,1981,1,1,1,0,1,0,1,0,-9,-9,1,1,-9,-9,17,17,4,4,1,1,17,4,6,6,5,1,1,-9,7,7,1,1,1,0,gml-2.1.1
2640,750,770,1982,1,1,1,0,0,1,0,1,-9,-9,0,0,0,0,8,0,3,1,1,1,8,3,1,1,5,3,0,0,9,9,0,1,1,0,gml-2.1.1
2640,770,750,1982,1,1,0,1,1,0,1,0,-9,-9,0,0,0,0,0,8,1,3,1,1,8,3,1,1,5,3,0,0,9,9,0,1,1,0,gml-2.1.1
2641,750,770,1983,1,1,0,1,0,1,0,1,-9,-9,1,0,-9,0,17,17,4,4,1,1,17,4,78,108,5,1,1,-9,10,1,1,1,1,0,gml-2.1.1
2641,750,770,1984,1,0,0,1,0,1,0,1,-9,-9,1,0,-9,0,17,17,4,4,1,1,17,4,78,108,5,1,1,-9,10,1,1,1,1,0,gml-2.1.1
2641,770,750,1983,1,1,1,0,1,0,1,0,-9,-9,0,1,0,-9,17,17,4,4,1,1,17,4,78,108,5,1,1,-9,10,1,1,1,1,0,gml-2.1.1
2641,770,750,1984,1,0,1,0,1,0,1,0,-9,-9,0,1,0,-9,17,17,4,4,1,1,17,4,78,108,5,1,1,-9,10,1,1,1,1,0,gml-2.1.1
2642,750,770,1984,1,1,1,0,0,1,0,1,-9,-9,1,1,-9,-9,17,17,4,4,1,1,17,4,538,538,5,3,2,-9,4,10,1,1,1,0,gml-2.1.1
2642,750,770,1985,1,0,1,0,0,1,0,1,-9,-9,1,1,-9,-9,17,17,4,4,1,1,17,4,538,538,5,3,2,-9,4,10,1,1,1,0,gml-2.1.1
2642,770,750,1984,1,1,0,1,1,0,1,0,-9,-9,1,1,-9,-9,17,17,4,4,1,1,17,4,538,538,5,3,2,-9,4,10,1,1,1,0,gml-2.1.1
2642,770,750,1985,1,0,0,1,1,0,1,0,-9,-9,1,1,-9,-9,17,17,4,4,1,1,17,4,538,538,5,3,2,-9,4,10,1,1,1,0,gml-2.1.1
2644,750,770,1986,1,1,1,0,0,1,0,1,-9,-9,0,1,0,-9,17,17,4,4,1,1,17,4,220,249,5,1,1,-9,6,2,1,1,1,0,gml-2.1.1
2644,750,770,1987,1,0,1,0,0,1,0,1,-9,-9,0,1,0,-9,17,17,4,4,1,1,17,4,220,249,5,1,1,-9,6,2,1,1,1,0,gml-2.1.1
2644,770,750,1986,1,1,0,1,1,0,1,0,-9,-9,1,0,-9,0,17,17,4,4,1,1,17,4,220,249,5,1,1,-9,6,2,1,1,1,0,gml-2.1.1
2644,770,750,1987,1,0,0,1,1,0,1,0,-9,-9,1,0,-9,0,17,17,4,4,1,1,17,4,220,249,5,1,1,-9,6,2,1,1,1,0,gml-2.1.1
2645,255,390,1915,1,1,1,0,1,0,2,0,-9,-9,0,0,0,0,16,0,4,1,1,1,16,4,1073,1073,8,3,0,0,4,3,0,1,1,0,gml-2.1.1
2645,255,390,1916,1,0,1,0,1,0,2,0,-9,-9,0,0,0,0,16,0,4,1,1,1,16,4,1073,1073,8,3,0,0,4,3,0,1,1,0,gml-2.1.1
2645,255,390,1917,1,0,1,0,1,0,2,0,-9,-9,0,0,0,0,16,0,4,1,1,1,16,4,1073,1073,8,3,0,0,4,3,0,1,1,0,gml-2.1.1
2645,255,390,1918,1,0,1,0,1,0,2,0,-9,-9,0,0,0,0,16,0,4,1,1,1,16,4,1073,1073,8,3,0,0,4,3,0,1,1,0,gml-2.1.1
2645,390,255,1915,1,1,0,1,0,1,0,2,-9,-9,0,0,0,0,0,16,1,4,1,1,16,4,1073,1073,8,3,0,0,4,3,0,1,1,0,gml-2.1.1
2645,390,255,1916,1,0,0,1,0,1,0,2,-9,-9,0,0,0,0,0,16,1,4,1,1,16,4,1073,1073,8,3,0,0,4,3,0,1,1,0,gml-2.1.1
