dispnum,ccode,styear,stmon,stday,endyear,endmon,endday,obsid_start,obsid_end,sidea,hiact,orig,n_ccodes,bilat,init
1209,160,1962,5,15,1962,11,-9,ARG-1962,ARG-1962,0,17,1,2,1,
1213,811,1964,3,19,1969,6,2,CAM-1953,CAM-1953,0,20,1,5,0,
1213,817,1964,3,19,1969,6,2,RVN-1964-1,RVN-1965-3,1,20,1,5,0,
1213,2,1964,10,25,1969,6,2,USA-1963,USA-1969,1,20,0,5,0,
1213,800,1965,12,30,1966,4,27,THI-1963,THI-1963,1,17,0,5,0,
1213,710,1965,12,28,1968,1,3,CHN-1949,CHN-1949,0,1,0,5,0,
1219,365,1919,1,1,1920,9,18,RUS-1917,RUS-1917,1,20,1,3,0,
1219,290,1919,1,1,1920,9,18,POL-1918-2,POL-1918-2,0,20,1,3,0,
1219,200,1920,7,12,1920,7,12,UKG-1916,UKG-1916,0,6,0,3,0,
1228,800,1962,6,16,1962,11,13,THI-1958,THI-1958,1,17,1,2,1,
1228,811,1962,6,16,1962,11,13,CAM-1953,CAM-1953,0,17,1,2,1,
1229,811,1964,4,14,1966,9,30,CAM-1953,CAM-1953,1,17,1,2,1,
1229,800,1964,4,14,1966,9,30,THI-1963,THI-1963,0,17,1,2,1,
1231,800,1975,5,29,1976,2,20,THI-1975-2,THI-1975-2,0,17,1,2,1,
1231,811,1975,5,29,1976,2,20,CAM-1975,CAM-1975,1,17,1,2,1,
1232,811,1976,8,2,1987,6,25,CAM-1975,CAM-1985,1,17,1,3,0,
1232,816,1979,1,-9,1987,6,25,DRV-1969,DRV-1986-2,1,17,0,3,0,
1232,800,1976,8,2,1987,6,25,THI-1976-1,THI-1980,0,17,1,3,0,
1233,305,1921,8,28,1921,10,13,AUS-1921,AUS-1921,0,17,1,2,1,
1233,310,1921,8,28,1921,10,13,HUN-1920,HUN-1920,1,17,1,2,1,
1235,339,1921,8,6,1921,11,17,ALB-1920-2,ALB-1921-1,0,17,1,2,1,
1235,345,1921,8,6,1921,11,17,YUG-1918,YUG-1918,1,17,1,2,1,
1238,770,1947,10,22,1949,1,1,PAK-1947,PAK-1948,1,20,1,2,1,
1238,750,1947,10,22,1949,1,1,IND-1947,IND-1947,0,20,1,2,1,
1241,355,1925,10,16,1925,10,29,BUL-1918,BUL-1918,0,17,1,2,1,
1241,350,1925,10,16,1925,10,29,GRC-1925,GRC-1925,1,17,1,2,1,
1243,368,1938,3,10,1938,3,20,LIT-1926-2,LIT-1926-2,1,17,1,2,1,
1243,290,1938,3,10,1938,3,20,POL-1935,POL-1935,0,17,1,2,1,
1250,355,1912,9,3,1913,4,19,BUL-1887,BUL-1887,1,20,1,4,0,
1250,350,1912,9,30,1913,4,19,GRC-1863,GRC-1913,1,20,0,4,0,
1250,640,1912,9,3,1913,4,19,TUR-1909,TUR-1913,0,20,1,4,0,
1250,345,1912,9,30,1913,4,19,,,1,20,0,4,0,
1251,640,1913,7,15,1913,8,10,TUR-1913,TUR-1913,0,20,0,5,0,
1251,345,1913,4,18,1913,8,10,,,0,20,1,5,0,
1251,355,1913,4,18,1913,8,10,BUL-1887,BUL-1887,1,20,1,5,0,
1251,350,1913,4,28,1913,7,30,GRC-1913,GRC-1913,0,20,0,5,0,
1251,360,1913,6,28,1913,7,30,RUM-1866,RUM-1866,0,20,0,5,0,
1265,220,1919,3,20,1919,8,18,FRN-1917-3,FRN-1917-3,1,17,1,7,0,
1265,345,1919,3,24,1919,8,18,YUG-1918,YUG-1918,1,18,0,7,0,
1265,325,1919,3,20,1919,8,18,ITA-1917,ITA-1919,1,14,1,7,0,1
1265,200,1919,3,20,1919,8,4,UKG-1916,UKG-1916,1,14,1,7,0,1
1265,310,1919,3,20,1919,8,18,HUN-1918,HUN-1919-3,0,20,1,7,0,
1265,360,1919,4,10,1919,8,18,RUM-1914,RUM-1914,1,20,0,7,0,
1265,315,1919,3,28,1919,8,18,CZE-1918,CZE-1918,1,20,0,7,0,
1268,315,1919,1,23,1919,2,3,CZE-1918,CZE-1918,1,17,1,2,1,
1268,290,1919,1,23,1919,2,3,POL-1918-2,POL-1918-2,0,17,1,2,1,
1270,350,1919,5,4,1922,10,11,GRC-1917,GRC-1922-1,1,20,1,2,1,
1270,640,1919,5,4,1922,10,11,TUR-1918,TUR-1918,0,20,1,2,1,
1272,367,1919,10,15,1920,11,5,LAT-1919-3,LAT-1919-3,0,10,0,3,0,
1272,290,1918,13,11,1920,11,29,,POL-1918-2,1,17,1,3,0,
1272,368,1918,13,11,1920,11,29,,LIT-1920,0,17,1,3,0,
1273,290,1921,3,20,1921,10,20,POL-1918-2,POL-1918-2,0,17,1,2,1,
1273,255,1921,3,20,1921,10,20,GMY-1920-2,GMY-1921,1,17,1,2,1,
1285,350,1949,8,6,1949,8,10,GRC-1949,GRC-1949,1,17,1,2,1,
1285,339,1949,8,6,1949,8,10,ALB-1944,ALB-1944,0,17,1,2,1,
1286,2,1950,7,12,1951,12,14,USA-1945,USA-1945,0,7,0,6,0,
1286,365,1949,8,9,1951,12,9,RUS-1923,RUS-1923,1,15,1,6,0,1
1286,355,1950,5,15,1951,12,14,BUL-1950,BUL-1950,1,17,0,6,0,
1286,310,1949,9,-9,1951,12,14,HUN-1945,HUN-1945,1,16,0,6,0,
1286,360,1949,10,-9,1951,12,14,RUM-1947,RUM-1947,1,16,0,6,0,
1286,345,1949,8,9,1951,12,9,YUG-1945,YUG-1945,0,17,1,6,0,
1293,350,1974,7,15,1974,8,15,GRC-1973,GRC-1974,0,17,1,3,0,
1293,352,1974,7,20,1974,8,16,CYP-1974-1,CYP-1974-2,0,20,0,3,0,
1293,640,1974,7,15,1974,8,15,TUR-1974-1,TUR-1974-1,1,20,1,3,0,
1295,355,1952,7,27,1952,8,13,BUL-1950,BUL-1950,1,17,1,2,1,
1295,350,1952,7,27,1952,8,13,GRC-1951,GRC-1951,0,17,1,2,1,
1300,770,1955,5,7,1955,5,7,PAK-1953,PAK-1953,1,17,1,2,1,
1300,750,1955,5,7,1955,5,7,IND-1947,IND-1947,0,17,1,2,1,
1301,750,1956,2,16,1956,3,18,IND-1947,IND-1947,0,17,1,2,1,
1301,770,1956,2,16,1956,3,18,PAK-1955,PAK-1955,1,17,1,2,1,
1302,770,1958,3,11,1959,8,26,PAK-1957-2,PAK-1958,1,17,1,2,1,
1302,750,1958,3,11,1959,8,26,IND-1947,IND-1947,0,17,1,2,1,
1303,700,1960,9,14,1960,10,7,AFG-1953,AFG-1953,1,17,1,2,1,
1303,770,1960,9,14,1960,10,7,PAK-1958,PAK-1958,0,17,1,2,1,
1304,700,1961,5,19,1961,6,11,AFG-1953,AFG-1953,1,17,1,2,1,
1304,770,1961,5,19,1961,6,11,PAK-1958,PAK-1958,0,17,1,2,1,
1306,700,1950,6,17,1950,10,5,AFG-1946,AFG-1946,1,17,1,2,1,
1306,770,1950,6,17,1950,10,5,PAK-1948,PAK-1948,0,17,1,2,1,
1308,750,1950,2,23,1950,6,11,IND-1947,IND-1947,1,17,1,2,1,
1308,770,1950,2,23,1950,6,11,PAK-1948,PAK-1948,0,17,1,2,1,
1310,750,1962,9,17,1962,11,4,IND-1947,IND-1947,0,17,1,2,1,
1310,770,1962,9,17,1962,11,4,PAK-1958,PAK-1958,1,17,1,2,1,
1312,750,1964,2,21,1966,1,10,IND-1947,IND-1964-2,0,20,1,2,1,
1312,770,1964,2,21,1966,1,10,PAK-1958,PAK-1958,1,20,1,2,1,
1321,490,1960,7,5,1960,9,2,DRC-1960-1,DRC-1960-1,0,17,1,2,1,
1321,211,1960,7,5,1960,9,2,BEL-1958,BEL-1958,1,17,1,2,1,
1331,435,1975,10,28,1975,11,21,MAA-1960,MAA-1960,0,0,1,4,0,0
1331,615,1975,10,31,1975,11,21,ALG-1965,ALG-1965,1,7,0,4,0,
1331,600,1975,10,28,1975,11,21,MOR-1961,MOR-1961,0,0,1,4,0,0
1331,230,1975,10,28,1975,11,21,SPN-1939-2,SPN-1975-2,1,8,1,4,0,1
1333,571,1976,8,6,1978,3,3,BOT-1966,BOT-1966,0,17,1,2,1,
1333,552,1976,8,6,1978,3,3,ZIM-1965,ZIM-1965,1,17,1,2,1,
1342,235,1973,5,4,1973,5,4,POR-1968,POR-1968,1,17,1,2,1,
1342,553,1973,5,4,1973,5,4,MAW-1964,MAW-1964,0,17,1,2,1,
1343,750,1967,10,9,1967,10,9,IND-1966-2,IND-1966-2,0,17,1,2,1,
1343,770,1967,10,9,1967,10,9,PAK-1958,PAK-1958,1,17,1,2,1,
1351,438,1966,3,17,1966,4,25,GUI-1958,GUI-1958,0,17,1,2,1,
1351,437,1966,3,17,1966,4,25,CDI-1960,CDI-1960,1,17,1,2,1,
1353,2,1962,5,3,1973,2,20,USA-1961,USA-1969,0,20,0,9,0,
1353,800,1962,2,13,1973,2,20,THI-1958,THI-1963,0,20,0,9,0,
1353,816,1962,1,-9,1973,2,20,DRV-1945,DRV-1969,1,20,0,9,0,
1353,812,1962,1,6,1973,2,6,LAO-1960-5,LAO-1964-2,0,20,1,9,0,
1353,920,1962,5,20,1962,11,20,NEW-1960,NEW-1960,0,7,0,9,0,
1353,200,1962,5,20,1962,11,20,UKG-1957,UKG-1957,0,7,0,9,0,
1353,900,1962,5,20,1962,11,20,AUL-1949,AUL-1949,0,7,0,9,0,
1353,365,1962,2,24,1962,5,24,RUS-1953-2,RUS-1953-2,1,7,0,9,0,
1353,710,1962,1,6,1964,7,6,CHN-1949,CHN-1949,1,16,1,9,0,1
1360,811,1969,3,7,1970,3,13,CAM-1953,CAM-1953,0,17,1,2,1,
1360,816,1969,3,7,1970,3,13,DRV-1945,DRV-1969,1,17,1,2,1,
1363,812,1960,12,16,1961,5,3,LAO-1960-5,LAO-1960-5,0,17,1,6,0,
1363,816,1960,12,31,1961,5,3,DRV-1945,DRV-1945,1,17,0,6,0,
1363,800,1961,4,20,1961,5,3,THI-1958,THI-1958,0,1,0,6,0,
1363,710,1961,4,2,1961,4,20,CHN-1949,CHN-1949,1,1,0,6,0,
1363,2,1961,1,-9,1961,4,2,USA-1953,USA-1961,0,8,0,6,0,
1363,365,1960,12,16,1961,4,20,RUS-1953-2,RUS-1953-2,1,7,1,6,0,1
1364,510,1972,4,14,1972,4,14,TAZ-1961,TAZ-1961,0,17,1,2,1,
1364,235,1972,4,14,1972,4,14,POR-1968,POR-1968,1,17,1,2,1,
1374,713,1950,1,-9,1953,3,2,TAW-1949,TAW-1950,1,20,1,2,1,
1374,775,1950,1,-9,1953,3,2,MYA-1948,MYA-1948,0,20,1,2,1,
1376,812,1975,7,7,1975,12,30,LAO-1964-2,LAO-1975,1,17,1,2,1,
1376,800,1975,7,7,1975,12,30,THI-1975-2,THI-1975-2,0,17,1,2,1,
1377,666,1976,7,4,1976,7,4,ISR-1974,ISR-1974,1,17,1,2,1,
1377,500,1976,7,4,1976,7,4,UGA-1971,UGA-1971,0,17,1,2,1,
1378,530,1967,2,-9,1967,10,28,ETH-1941,ETH-1941,0,7,1,3,0,0
1378,520,1967,2,-9,1967,10,28,SOM-1960,SOM-1967,1,17,1,3,0,
1378,501,1967,3,-9,1967,10,28,KEN-1963,KEN-1963,0,17,0,3,0,
1379,2,1962,6,1,1970,10,1,USA-1961,USA-1969,0,17,1,3,0,
1379,731,1962,6,1,1971,9,1,PRK-1948,PRK-1948,1,17,1,3,0,
1379,732,1962,9,5,1971,9,17,ROK-1961-2,ROK-1961-2,0,17,0,3,0,
1380,510,1971,1,27,1971,11,23,TAZ-1961,TAZ-1961,0,17,1,2,1,
1380,500,1971,1,27,1971,11,23,UGA-1971,UGA-1971,1,17,1,2,1,
1381,620,1972,9,22,1972,11,28,LIB-1969,LIB-1969,0,7,0,3,0,
1381,500,1972,9,17,1973,5,17,UGA-1971,UGA-1971,0,17,1,3,0,
1381,510,1972,9,17,1973,5,17,TAZ-1961,TAZ-1961,1,17,1,3,0,
1382,625,1974,11,25,1974,11,25,SUD-1971-2,SUD-1971-2,0,0,0,4,0,0
1382,551,1974,7,-9,1975,9,7,ZAM-1964,ZAM-1964,0,7,0,4,0,
1382,500,1974,7,13,1975,9,13,UGA-1971,UGA-1971,1,8,1,4,0,1
1382,510,1974,7,13,1975,9,13,TAZ-1961,TAZ-1961,0,15,1,4,0,0
1390,551,1972,12,16,1973,5,19,ZAM-1964,ZAM-1964,0,16,1,4,0,0
1390,235,1972,12,16,1973,5,19,POR-1968,POR-1968,1,15,1,4,0,1
1390,552,1973,1,9,1973,5,19,ZIM-1965,ZIM-1965,1,13,0,4,0,
